Year	Month	Day	Conc_μg_l	Q_m3_s			
2016 	3 	15 	49.4 	12.243 			
2016 	4 	12 	33.4 	5.982 			
2016 	5 	18 	44.6 	4.415 			
2016 	6 	14 	62.1 	3.222 			
2016 	7 	19 	63.5 	3.278 			
2016 	8 	16 	61.2 	2.929 			
2016 	9 	20 	126.0 	3.129 			
2016 	10 	17 	68.4 	2.134 			
2016 	11 	16 	102.0 	7.339 			
2017 	2 	14 	55.1 	8.287 			
2017 	3 	14 	51.0 	10.649 			
2017 	4 	19 	39.8 	10.444 			
2017 	5 	15 	43.6 	4.764 			
2017 	6 	19 	73.6 	3.412 			
2017 	7 	17 	55.7 	3.593 			
2017 	8 	16 	74.8 	3.430 			
2017 	9 	19 	88.4 	13.576 			
2017 	10 	16 	65.4 	9.402 			
2017 	11 	14 	69.8 	16.343 			
2017 	12 	18 	70.6 	29.513 			
2018 	1 	16 	80.2 	21.980 			
2018 	2 	13 	72.0 	16.343 			
2018 	3 	13 	147.0 	12.924 			
2018 	4 	17 	39.4 	9.941 			
2018 	5 	15 	54.0 	4.472 			
2018 	6 	19 	64.7 	3.266 			
2018 	7 	16 	61.6 	1.382 			
2018 	8 	13 	80.2 	0.872 			
2018 	9 	17 	61.5 	1.201 			
2018 	10 	15 	62.8 	1.597 			
2018 	11 	12 	64.5 	2.515 			
2018 	12 	11 	77.2 	7.304 			
